gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, information processors communicating, lattice gas, communicating via classical, classical channels, fluid dynamics
sharp boundary layers, Lobatto IIIA formulae, dichotomically stable integrator, dichotomically stable, solving differential-algebraic equations, ordinary differential equations, Lobatto IIIA, stable integrator SYMDAE, Multiple shooting, previous work, discretization is needed, sharp boundary, layers may occur, IIIA formulae, stable discretization
York City developed, York City, extensive underground direct, direct current influenced, underground direct current, power distribution system, Edison direct current, Pearl Street Station, midtown Manhattan, direct current, Thomas Edison pioneering, Edison pioneering Pearl, pioneering Pearl Street, early decades, developed an extensive
famous American physicists, mechanical many-body dynamics, mechanical computing device, Richard Feynman, simulate quantum mechanical, quantum mechanical many-body, quantum mechanical computing, efficiently simulate quantum, famous American, twentieth century, many-body dynamics, quantum mechanical, number of particles, particles treated, physical modeling
economic difficulties experienced, Russia has considerably, controlling power equipment, firmware system SARGON, economic difficulties, considerably retarded, retarded the speed, speed of commissioning, commissioning new capacities, capacities and reconstructing, power equipment, power industry, system SARGON, power, equipment
operating information increases, increasingly more complex, volume and complexity, information, Open hypermedia, operating information, information increases, hypermedia, maintenance and operating, Open, industrial systems, product support, access current information, current information quickly, maintenance
on-line purchases Buying, purchases Buying presents, purchases Buying, Web has advantages, lots of choices, quick delivery, busy person, wrap the gift, Buying presents, accessibility, Buying, Web, person, lots, choices
Delayed-choice entanglement swapping, mechanical retrodiction effect, discovered quantum-information protocol, recently discovered quantum-information, apparent nonlocal quantum, nonlocal quantum mechanical, quantum mechanical retrodiction, protocol by Peres, Peres implying, retrodiction effect, entanglement swapping, report the experimental, experimental realization, implying an apparent, apparent nonlocal
signed-digit addition based, addition algorithm based, modified signed-digit addition, binary logic gates, modified signed-digit, two-step modified signed-digit, algorithm based, parallel computing, logic gates, proposed for parallel, input MSD digits, Optical two-step modified, based on binary, addition based, binary coded MSD
spectral domain, present a spectral, Speech, Speech enhancement, mixture-maximum model, speech enhancement algorithm, model, speech signals, noisy speech spectrum, algorithm, clean speech signal, enhancement, short time spectrum, noise robust speech, noise
weighted least-squares method, fractional delay allpass, variable fractional delay, delay allpass filters, two-dimensional variable fractional, least-squares method, variable allpass filter, fractional delay, fractional delay parameter, delay allpass, one-dimensional and two-dimensional, two-dimensional variable, variable allpass, weighted equation error, allpass filter
Van Hecke, Van Daele, Comp. Appl, high-order convergent deferred, convergent deferred correction, deferred correction schemes, Van, boundary value problems, correction schemes based, Hecke, Daele, Appl, high-order convergent, convergent deferred, Comp.
magneto-rheological damping devices, identifying variable-structure nonlinear, variable-structure nonlinear models, damping devices, similar devices, paper presents, presents a methodology, methodology for identifying, devices This paper, NARX-based technique, nonlinear models, magneto-rheological, devices, MRD modelling approach, accepted MRD modelling
constructing suffix trees, suffix trees, integer alphabets, odd positions, suffix, construct suffix, construct recursively, tree, constructing, trees for integer, recursively a suffix, positions, algorithm, merging, integer
