gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, solve fluid dynamics, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical
experimental comparison, experimental data, comparison The objective, highlight and discuss, discuss the differences, acoustic response, work presented, numerical optimization, compare results, numerical, experimental, optimization, numerical and experimental, minimization of acoustic, acoustic emission
Revisiting Hardy paradox, entanglement and weak, Revisiting Hardy, Counterfactual statements, real measurements, Hardy, paradox is revisited, paradox, Hardy paradox, Revisiting, statements, real, entanglement, revisited, Hardy scheme
drive strategic innovation, strategic innovation, innovation, drive strategic, law firms, law, drive, strategic, organization and attitude, initiatives, attitude, firms, firm, entire firm, Marginal
current humanitarian assistance, humanitarian assistance, current humanitarian, major challenge, challenge in current, widely distributed, distributed and owned, knowledge management framework, decision making, knowledge, humanitarian, framework, supporting decision making, management framework, knowledge management
payoff-switching differential game, game, differential game, payoff-switching differential, player, fuzzy, payoff-switching, time, reasoning, strategy, fuzzy reasoning, payoff, differential game based, reasoning strategy, differential
dichotomically stable integrator, dichotomically stable discretization, sharp boundary layers, dichotomically stable, Lobatto IIIA formulae, solving differential-algebraic equations, dichotomically stable implicit, stable integrator SYMDAE, Lobatto IIIA, ordinary differential equations, stable integrator, Multiple shooting, IIIA formulae, stable discretization, previous work
York City developed, direct current influenced, York City, extensive underground direct, underground direct current, Edison direct current, power distribution system, Pearl Street Station, midtown Manhattan, City developed, direct current, Thomas Edison pioneering, Edison pioneering Pearl, pioneering Pearl Street, distribution system
famous American physicists, mechanical many-body dynamics, mechanical computing device, Richard Feynman, simulate quantum mechanical, quantum mechanical many-body, quantum mechanical computing, efficiently simulate quantum, famous American, American physicists, quantum mechanical, twentieth century, many-body dynamics, mechanical many-body, mechanical computing
economic difficulties experienced, controlling power equipment, Russia has considerably, firmware system SARGON, power equipment, economic difficulties, difficulties experienced, considerably retarded, retarded the speed, speed of commissioning, commissioning new capacities, capacities and reconstructing, power industry, power, controlling power
operating information increases, increasingly more complex, volume and complexity, Open hypermedia, information, operating information, information increases, hypermedia, maintenance and operating, Open, industrial systems, product support, access current information, open hypermedia system, maintenance
on-line purchases Buying, purchases Buying presents, purchases Buying, Web has advantages, lots of choices, quick delivery, busy person, wrap the gift, Buying presents, on-line purchases, accessibility, Buying, Web, person, lots
Delayed-choice entanglement swapping, mechanical retrodiction effect, discovered quantum-information protocol, recently discovered quantum-information, apparent nonlocal quantum, nonlocal quantum mechanical, quantum mechanical retrodiction, protocol by Peres, Peres implying, Delayed-choice entanglement, retrodiction effect, entanglement swapping, report the experimental, experimental realization, discovered quantum-information
binary logic gates, modified signed-digit addition, signed-digit addition based, modified signed-digit, two-step modified signed-digit, addition algorithm based, parallel computing, algorithm based, logic gates, proposed for parallel, Optical two-step modified, based on binary, input MSD digits, binary coded MSD, MSD
